,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
211,Turayf,0,SA,1578469509,75,31.68,38.65,42.8,11.41
212,Leh,99,IN,1578469509,71,34.16,77.58,6.78,5.68
213,Canutama,100,BR,1578469509,97,-6.53,-64.38,73.71,1.9
214,Pisco,90,PE,1578469242,94,-13.71,-76.2,69.8,8.05
215,Eston,90,CA,1578469509,78,51.15,-108.75,10.0,28.86
216,Naga,100,PH,1578469510,76,13.62,123.19,79.97,12.24
217,Nikolskoye,90,RU,1578469510,84,59.7,30.79,37.4,15.66
218,Naron,75,ES,1578469510,93,43.52,-8.15,57.0,4.7
219,Chegdomyn,74,RU,1578469510,99,51.13,133.04,-7.92,1.12
220,Timizart,52,DZ,1578469510,75,36.8,4.25,55.8,12.88
221,Guerrero Negro,76,MX,1578469511,62,27.97,-114.04,59.61,6.73
222,Timiryazevskiy,40,RU,1578469511,95,47.05,39.61,32.0,15.66
223,Severobaykalsk,97,RU,1578469511,87,55.65,109.32,16.97,5.23
224,Georgetown,20,GY,1578469372,100,6.8,-58.16,75.2,4.7
225,Baie-Comeau,90,CA,1578469512,85,49.22,-68.15,14.0,4.7
226,Marsh Harbour,19,BS,1578469512,57,26.54,-77.06,71.24,14.79
227,Ahipara,46,NZ,1578469512,72,-35.17,173.16,60.94,13.94
228,Pontal do Parana,75,BR,1578469512,100,-25.67,-48.51,68.0,4.7
229,Riyadh,68,SA,1578469476,36,24.63,46.72,60.8,10.29
230,Ambatondrazaka,100,MG,1578469513,62,-17.82,48.43,80.11,1.52
231,Esso,100,RU,1578469513,93,55.93,158.7,4.62,0.56
232,Broken Hill,0,AU,1578469513,16,-31.97,141.45,98.6,11.41
233,Tiksi,77,RU,1578469513,90,71.64,128.87,-11.13,5.1
234,Sassandra,69,CI,1578469514,68,4.95,-6.09,79.95,4.34
235,Jaciara,100,BR,1578469514,93,-15.95,-54.98,71.76,6.15
236,Den Helder,90,NL,1578469514,93,52.96,4.76,53.01,20.8
237,Mookane,17,BW,1578469515,32,-23.68,26.66,90.36,15.26
